"spreadsheet"
"X","Y","Z","Value"
767.48999,1764.3901,315.35986,0.077595949
967.48999,1764.3901,315.35986,0.17625852
1167.49,1764.3901,315.35986,0.32956764
1367.49,1764.3901,315.35986,0.11086308
1567.49,1764.3901,315.35986,0.34430355
1767.49,1764.3901,315.35986,0.2592594
1967.49,1764.3901,315.35986,0.086422823
2167.49,1764.3901,315.35986,0.052568726
2367.49,1764.3901,315.35986,0.27256352
2567.49,1764.3901,315.35986,0.12851857
2767.49,1764.3901,315.35986,0.9735685
2967.49,1764.3901,315.35986,0.94905668
3167.49,1764.3901,315.35986,0.76527667
3367.49,1764.3901,315.35986,0.11060794
3567.49,1764.3901,315.35986,0.062705658
3767.49,1764.3901,315.35986,0.95668435
167.48999,1964.3901,315.35986,0.88595194
367.48999,1964.3901,315.35986,0.32524419
567.48999,1964.3901,315.35986,0.2409181
767.48999,1964.3901,315.35986,0.30957943
967.48999,1964.3901,315.35986,0.06000511
1167.49,1964.3901,315.35986,0.37485674
1367.49,1964.3901,315.35986,0.13143018
1567.49,1964.3901,315.35986,0.3348985
1767.49,1964.3901,315.35986,0.34365702
1967.49,1964.3901,315.35986,0.30212751
2167.49,1964.3901,315.35986,0.068682589
2367.49,1964.3901,315.35986,0.1926648
2567.49,1964.3901,315.35986,0.16895814
2767.49,1964.3901,315.35986,0.97666204
2967.49,1964.3901,315.35986,0.96981919
3167.49,1964.3901,315.35986,0.41757041
3367.49,1964.3901,315.35986,0.062377375
3567.49,1964.3901,315.35986,0.069080882
3767.49,1964.3901,315.35986,0.94572532
167.48999,2164.3901,315.35986,0.91950196
367.48999,2164.3901,315.35986,0.061052173
567.48999,2164.3901,315.35986,0.3281585
767.48999,2164.3901,315.35986,0.21959366
967.48999,2164.3901,315.35986,0.089731812
1167.49,2164.3901,315.35986,0.39194387
1367.49,2164.3901,315.35986,0.10192778
1567.49,2164.3901,315.35986,0.37188688
1767.49,2164.3901,315.35986,0.16188172
1967.49,2164.3901,315.35986,0.37335715
2167.49,2164.3901,315.35986,0.073263116
2367.49,2164.3901,315.35986,0.072895817
2567.49,2164.3901,315.35986,0.29772839
2767.49,2164.3901,315.35986,0.97110176
2967.49,2164.3901,315.35986,0.9695664
3167.49,2164.3901,315.35986,0.2406721
3367.49,2164.3901,315.35986,0.10693007
3567.49,2164.3901,315.35986,0.069517516
3767.49,2164.3901,315.35986,0.96365327
167.48999,2364.3901,315.35986,0.91206855
367.48999,2364.3901,315.35986,0.041478157
567.48999,2364.3901,315.35986,0.12949871
767.48999,2364.3901,315.35986,0.1220847
967.48999,2364.3901,315.35986,0.086052135
1167.49,2364.3901,315.35986,0.4007223
